question,answer_text
would best title text,School Takes Stand Obesity
man quarreled wife,cake stuck end nose according wife wish
following British false according passage,feel tired say Thank Sorry Excuse
following CANNOT used prove newly found creatures live super salty waters,dead bodies found
According passage following true,common men buy dishes send children school even cook modern family
main idea passage,Vitamins guard lung cancer
practice anting,makes birds feel comfortable
child wants take part Cookie Sale needs,cook sell dog cookies
writer know Sarah name,credit card
know Dan Errotabere,content officials water system
Paragraph writer used example,show goal setting sometimes stops realizing dreams
mentioned part tome job teens,Washing cars
passage learn writer mother,strict children
would Alexis father said bedtime stories went different way,would correct
main concern students choose major,chances getting good job
author opinion matters life,health love
Tourists Mickey Scary Halloween Party need,pay admission regular days
Obama said inspired,majesty Great Wall
missing dollar,missing dollar
text probably come,tourist guide
following open night,Sky walk Sydney
author wrote passage mainly,make know important listen people offer different perspective experience
statement true according passage,use school China
following proper title passage,Forgiveness Gratitude
